idx,t,x,y,heading_deg,velocity,omega,left_voltage,right_voltage
210,2.421000,82.479486,42.161272,185.880315,43.168101,-1.387100,11.491449,2.289538
211,2.431000,82.049895,42.118887,185.389272,45.889506,-1.811870,11.333094,2.268956
212,2.441000,82.049895,42.118887,185.389272,40.633883,-1.612684,11.156039,2.267074
213,2.451000,82.049895,42.118887,185.389272,39.136390,-2.447824,10.968601,2.275576
214,2.461000,82.049895,42.118887,185.389272,39.654753,-1.281508,10.775899,2.289341
215,2.471000,82.049895,42.118887,185.389272,48.481320,-1.183115,10.580968,2.305335
216,2.481000,82.049895,42.118887,185.389272,46.911832,-1.142318,10.385493,2.321873
217,2.491000,82.049895,42.118887,185.389272,48.711703,-2.008656,10.190360,2.338070
218,2.501000,78.930723,41.949110,181.940088,49.057278,-1.941461,10.091888,2.394469
219,2.511000,78.412286,41.935042,181.168652,48.985283,-1.843068,10.078163,2.477137
220,2.521000,77.922386,41.928442,180.375012,44.910376,-1.547889,10.070068,2.552656
221,2.531000,77.473287,41.928963,179.492111,45.039967,-1.852667,10.062255,2.622938
222,2.541000,77.022508,41.936699,178.541426,46.393470,-2.447824,10.054297,2.691132
223,2.551000,76.558803,41.952533,177.547338,46.422267,-2.519819,10.045847,2.759734
224,2.561000,76.094929,41.976573,176.519164,45.486335,-2.195842,10.035223,2.841217
225,2.571000,76.094929,41.976573,176.519164,44.579200,-2.193443,10.023501,2.924420
226,2.581000,76.094929,41.976573,176.519164,46.407868,-2.656609,10.011389,3.006897
227,2.591000,76.094929,41.976573,176.519164,43.931246,-2.498221,9.997776,3.097557
228,2.601000,76.094929,41.976573,176.519164,45.615925,-2.649410,9.982360,3.198141
229,2.611000,76.094929,41.976573,176.519164,47.329402,-2.704606,9.964819,3.310502
230,2.621000,76.094929,41.976573,176.519164,46.839837,-2.666209,9.944790,3.436683
231,2.631000,76.094929,41.976573,176.519164,46.364672,-2.567816,9.921859,3.578996
232,2.641000,72.809518,42.408496,167.072331,47.674978,-2.709405,9.895536,3.740119
233,2.651000,72.346253,42.521062,165.612935,48.466921,-2.970987,9.864175,3.932050
234,2.661000,71.878289,42.647378,164.175675,46.235081,-2.536618,9.828228,4.153381
235,2.671000,71.435009,42.778942,162.763137,45.529532,-2.419026,9.788171,4.397329
236,2.681000,71.001773,42.919222,161.353205,45.529532,-2.419026,9.741921,4.678102
237,2.691000,70.571698,43.070385,159.915784,50.050807,-2.630211,9.688303,5.002732
238,2.701000,70.103820,43.248129,158.481108,52.181854,-2.395028,9.625852,5.380055
